question,answer,context,result,model_name,temperature,error
How many singers do we have?,SELECT count(*) FROM singer,"CREATE TABLE ""stadium"" (""Stadium_ID"" int,""Location"" text,""Name"" text,""Capacity"" int,""Highest"" int,""Lowest"" int,""Average"" int,PRIMARY KEY (""Stadium_ID"")); CREATE TABLE ""stadium"" (""Stadium_ID"" int,""Location"" text,""Name"" text,""Capacity"" int,""Highest"" int,""Lowest"" int,""Average"" int,PRIMARY KEY (""Stadium_ID"")); CREATE TABLE ""stadium"" (""Stadium_ID"" int,""Location"" text,""Name"" text,""Capacity"" int,""Highest"" int,""Lowest"" int,""Average"" int,PRIMARY KEY (""Stadium_ID"")); CREATE TABLE ""stadium"" (""Stadium_ID"" int,""Location"" text,""Name"" text,""Capacity"" int,""Highest"" int,""Lowest"" int,""Average"" int,PRIMARY KEY (""Stadium_ID""))",SELECT COUNT(*) FROM singers,gpt-3.5-turbo-0125,0.0,
What is the total number of singers?,SELECT count(*) FROM singer,"CREATE TABLE ""stadium"" (""Stadium_ID"" int,""Location"" text,""Name"" text,""Capacity"" int,""Highest"" int,""Lowest"" int,""Average"" int,PRIMARY KEY (""Stadium_ID"")); CREATE TABLE ""stadium"" (""Stadium_ID"" int,""Location"" text,""Name"" text,""Capacity"" int,""Highest"" int,""Lowest"" int,""Average"" int,PRIMARY KEY (""Stadium_ID"")); CREATE TABLE ""stadium"" (""Stadium_ID"" int,""Location"" text,""Name"" text,""Capacity"" int,""Highest"" int,""Lowest"" int,""Average"" int,PRIMARY KEY (""Stadium_ID"")); CREATE TABLE ""stadium"" (""Stadium_ID"" int,""Location"" text,""Name"" text,""Capacity"" int,""Highest"" int,""Lowest"" int,""Average"" int,PRIMARY KEY (""Stadium_ID""))",SELECT COUNT(*) AS total_singers FROM stadium,gpt-3.5-turbo-0125,0.0,
"Show name, country, age for all singers ordered by age from the oldest to the youngest.","SELECT name ,  country ,  age FROM singer ORDER BY age DESC","CREATE TABLE ""stadium"" (""Stadium_ID"" int,""Location"" text,""Name"" text,""Capacity"" int,""Highest"" int,""Lowest"" int,""Average"" int,PRIMARY KEY (""Stadium_ID"")); CREATE TABLE ""stadium"" (""Stadium_ID"" int,""Location"" text,""Name"" text,""Capacity"" int,""Highest"" int,""Lowest"" int,""Average"" int,PRIMARY KEY (""Stadium_ID"")); CREATE TABLE ""stadium"" (""Stadium_ID"" int,""Location"" text,""Name"" text,""Capacity"" int,""Highest"" int,""Lowest"" int,""Average"" int,PRIMARY KEY (""Stadium_ID"")); CREATE TABLE ""stadium"" (""Stadium_ID"" int,""Location"" text,""Name"" text,""Capacity"" int,""Highest"" int,""Lowest"" int,""Average"" int,PRIMARY KEY (""Stadium_ID""))","SELECT Name, Country, Age FROM singers ORDER BY Age DESC",gpt-3.5-turbo-0125,0.0,
"What are the names, countries, and ages for every singer in descending order of age?","SELECT name ,  country ,  age FROM singer ORDER BY age DESC","CREATE TABLE ""stadium"" (""Stadium_ID"" int,""Location"" text,""Name"" text,""Capacity"" int,""Highest"" int,""Lowest"" int,""Average"" int,PRIMARY KEY (""Stadium_ID"")); CREATE TABLE ""stadium"" (""Stadium_ID"" int,""Location"" text,""Name"" text,""Capacity"" int,""Highest"" int,""Lowest"" int,""Average"" int,PRIMARY KEY (""Stadium_ID"")); CREATE TABLE ""stadium"" (""Stadium_ID"" int,""Location"" text,""Name"" text,""Capacity"" int,""Highest"" int,""Lowest"" int,""Average"" int,PRIMARY KEY (""Stadium_ID"")); CREATE TABLE ""stadium"" (""Stadium_ID"" int,""Location"" text,""Name"" text,""Capacity"" int,""Highest"" int,""Lowest"" int,""Average"" int,PRIMARY KEY (""Stadium_ID""))","SELECT Name, Country, Age FROM Singer ORDER BY Age DESC",gpt-3.5-turbo-0125,0.0,
"What is the average, minimum, and maximum age of all singers from France?","SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'","CREATE TABLE ""stadium"" (""Stadium_ID"" int,""Location"" text,""Name"" text,""Capacity"" int,""Highest"" int,""Lowest"" int,""Average"" int,PRIMARY KEY (""Stadium_ID"")); CREATE TABLE ""stadium"" (""Stadium_ID"" int,""Location"" text,""Name"" text,""Capacity"" int,""Highest"" int,""Lowest"" int,""Average"" int,PRIMARY KEY (""Stadium_ID"")); CREATE TABLE ""stadium"" (""Stadium_ID"" int,""Location"" text,""Name"" text,""Capacity"" int,""Highest"" int,""Lowest"" int,""Average"" int,PRIMARY KEY (""Stadium_ID"")); CREATE TABLE ""stadium"" (""Stadium_ID"" int,""Location"" text,""Name"" text,""Capacity"" int,""Highest"" int,""Lowest"" int,""Average"" int,PRIMARY KEY (""Stadium_ID""))","SELECT AVG(age) AS average_age, MIN(age) AS min_age, MAX(age) AS max_age FROM singers WHERE country = 'France'",gpt-3.5-turbo-0125,0.0,
"What is the average, minimum, and maximum age for all French singers?","SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'","CREATE TABLE ""stadium"" (""Stadium_ID"" int,""Location"" text,""Name"" text,""Capacity"" int,""Highest"" int,""Lowest"" int,""Average"" int,PRIMARY KEY (""Stadium_ID"")); CREATE TABLE ""stadium"" (""Stadium_ID"" int,""Location"" text,""Name"" text,""Capacity"" int,""Highest"" int,""Lowest"" int,""Average"" int,PRIMARY KEY (""Stadium_ID"")); CREATE TABLE ""stadium"" (""Stadium_ID"" int,""Location"" text,""Name"" text,""Capacity"" int,""Highest"" int,""Lowest"" int,""Average"" int,PRIMARY KEY (""Stadium_ID"")); CREATE TABLE ""stadium"" (""Stadium_ID"" int,""Location"" text,""Name"" text,""Capacity"" int,""Highest"" int,""Lowest"" int,""Average"" int,PRIMARY KEY (""Stadium_ID""))","SELECT AVG(Age) AS Average_Age, MIN(Age) AS Minimum_Age, MAX(Age) AS Maximum_Age FROM singers WHERE Nationality = 'French'",gpt-3.5-turbo-0125,0.0,
Show the name and the release year of the song by the youngest singer.,"SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1","CREATE TABLE ""stadium"" (""Stadium_ID"" int,""Location"" text,""Name"" text,""Capacity"" int,""Highest"" int,""Lowest"" int,""Average"" int,PRIMARY KEY (""Stadium_ID"")); CREATE TABLE ""stadium"" (""Stadium_ID"" int,""Location"" text,""Name"" text,""Capacity"" int,""Highest"" int,""Lowest"" int,""Average"" int,PRIMARY KEY (""Stadium_ID"")); CREATE TABLE ""stadium"" (""Stadium_ID"" int,""Location"" text,""Name"" text,""Capacity"" int,""Highest"" int,""Lowest"" int,""Average"" int,PRIMARY KEY (""Stadium_ID"")); CREATE TABLE ""stadium"" (""Stadium_ID"" int,""Location"" text,""Name"" text,""Capacity"" int,""Highest"" int,""Lowest"" int,""Average"" int,PRIMARY KEY (""Stadium_ID""))","SELECT Name, Release_Year FROM Singer ORDER BY Age ASC LIMIT 1",gpt-3.5-turbo-0125,0.0,
What are the names and release years for all the songs of the youngest singer?,"SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1","CREATE TABLE ""stadium"" (""Stadium_ID"" int,""Location"" text,""Name"" text,""Capacity"" int,""Highest"" int,""Lowest"" int,""Average"" int,PRIMARY KEY (""Stadium_ID"")); CREATE TABLE ""stadium"" (""Stadium_ID"" int,""Location"" text,""Name"" text,""Capacity"" int,""Highest"" int,""Lowest"" int,""Average"" int,PRIMARY KEY (""Stadium_ID"")); CREATE TABLE ""stadium"" (""Stadium_ID"" int,""Location"" text,""Name"" text,""Capacity"" int,""Highest"" int,""Lowest"" int,""Average"" int,PRIMARY KEY (""Stadium_ID"")); CREATE TABLE ""stadium"" (""Stadium_ID"" int,""Location"" text,""Name"" text,""Capacity"" int,""Highest"" int,""Lowest"" int,""Average"" int,PRIMARY KEY (""Stadium_ID""))","SELECT Name, Release_Year FROM Songs WHERE Singer_ID = (SELECT Singer_ID FROM Singers ORDER BY Age LIMIT 1)",gpt-3.5-turbo-0125,0.0,
What are all distinct countries where singers above age 20 are from?,SELECT DISTINCT country FROM singer WHERE age  >  20,"CREATE TABLE ""stadium"" (""Stadium_ID"" int,""Location"" text,""Name"" text,""Capacity"" int,""Highest"" int,""Lowest"" int,""Average"" int,PRIMARY KEY (""Stadium_ID"")); CREATE TABLE ""stadium"" (""Stadium_ID"" int,""Location"" text,""Name"" text,""Capacity"" int,""Highest"" int,""Lowest"" int,""Average"" int,PRIMARY KEY (""Stadium_ID"")); CREATE TABLE ""stadium"" (""Stadium_ID"" int,""Location"" text,""Name"" text,""Capacity"" int,""Highest"" int,""Lowest"" int,""Average"" int,PRIMARY KEY (""Stadium_ID"")); CREATE TABLE ""stadium"" (""Stadium_ID"" int,""Location"" text,""Name"" text,""Capacity"" int,""Highest"" int,""Lowest"" int,""Average"" int,PRIMARY KEY (""Stadium_ID""))",SELECT DISTINCT Country FROM Singers WHERE Age > 20,gpt-3.5-turbo-0125,0.0,
What are  the different countries with singers above age 20?,SELECT DISTINCT country FROM singer WHERE age  >  20,"CREATE TABLE ""stadium"" (""Stadium_ID"" int,""Location"" text,""Name"" text,""Capacity"" int,""Highest"" int,""Lowest"" int,""Average"" int,PRIMARY KEY (""Stadium_ID"")); CREATE TABLE ""stadium"" (""Stadium_ID"" int,""Location"" text,""Name"" text,""Capacity"" int,""Highest"" int,""Lowest"" int,""Average"" int,PRIMARY KEY (""Stadium_ID"")); CREATE TABLE ""stadium"" (""Stadium_ID"" int,""Location"" text,""Name"" text,""Capacity"" int,""Highest"" int,""Lowest"" int,""Average"" int,PRIMARY KEY (""Stadium_ID"")); CREATE TABLE ""stadium"" (""Stadium_ID"" int,""Location"" text,""Name"" text,""Capacity"" int,""Highest"" int,""Lowest"" int,""Average"" int,PRIMARY KEY (""Stadium_ID""))",SELECT DISTINCT Country FROM singers WHERE Age > 20,gpt-3.5-turbo-0125,0.0,
Show all countries and the number of singers in each country.,"SELECT country ,  count(*) FROM singer GROUP BY country","CREATE TABLE ""stadium"" (""Stadium_ID"" int,""Location"" text,""Name"" text,""Capacity"" int,""Highest"" int,""Lowest"" int,""Average"" int,PRIMARY KEY (""Stadium_ID"")); CREATE TABLE ""stadium"" (""Stadium_ID"" int,""Location"" text,""Name"" text,""Capacity"" int,""Highest"" int,""Lowest"" int,""Average"" int,PRIMARY KEY (""Stadium_ID"")); CREATE TABLE ""stadium"" (""Stadium_ID"" int,""Location"" text,""Name"" text,""Capacity"" int,""Highest"" int,""Lowest"" int,""Average"" int,PRIMARY KEY (""Stadium_ID"")); CREATE TABLE ""stadium"" (""Stadium_ID"" int,""Location"" text,""Name"" text,""Capacity"" int,""Highest"" int,""Lowest"" int,""Average"" int,PRIMARY KEY (""Stadium_ID""))","SELECT Country, COUNT(Singer) AS Number_of_Singers FROM Singers GROUP BY Country;",gpt-3.5-turbo-0125,0.0,
How many singers are from each country?,"SELECT country ,  count(*) FROM singer GROUP BY country","CREATE TABLE ""stadium"" (""Stadium_ID"" int,""Location"" text,""Name"" text,""Capacity"" int,""Highest"" int,""Lowest"" int,""Average"" int,PRIMARY KEY (""Stadium_ID"")); CREATE TABLE ""stadium"" (""Stadium_ID"" int,""Location"" text,""Name"" text,""Capacity"" int,""Highest"" int,""Lowest"" int,""Average"" int,PRIMARY KEY (""Stadium_ID"")); CREATE TABLE ""stadium"" (""Stadium_ID"" int,""Location"" text,""Name"" text,""Capacity"" int,""Highest"" int,""Lowest"" int,""Average"" int,PRIMARY KEY (""Stadium_ID"")); CREATE TABLE ""stadium"" (""Stadium_ID"" int,""Location"" text,""Name"" text,""Capacity"" int,""Highest"" int,""Lowest"" int,""Average"" int,PRIMARY KEY (""Stadium_ID""))","SELECT COUNT(singer_name) AS num_singers, country FROM singers GROUP BY country;",gpt-3.5-turbo-0125,0.0,
List all song names by singers above the average age.,SELECT song_name FROM singer WHERE age  >  (SELECT avg(age) FROM singer),"CREATE TABLE ""stadium"" (""Stadium_ID"" int,""Location"" text,""Name"" text,""Capacity"" int,""Highest"" int,""Lowest"" int,""Average"" int,PRIMARY KEY (""Stadium_ID"")); CREATE TABLE ""stadium"" (""Stadium_ID"" int,""Location"" text,""Name"" text,""Capacity"" int,""Highest"" int,""Lowest"" int,""Average"" int,PRIMARY KEY (""Stadium_ID"")); CREATE TABLE ""stadium"" (""Stadium_ID"" int,""Location"" text,""Name"" text,""Capacity"" int,""Highest"" int,""Lowest"" int,""Average"" int,PRIMARY KEY (""Stadium_ID"")); CREATE TABLE ""stadium"" (""Stadium_ID"" int,""Location"" text,""Name"" text,""Capacity"" int,""Highest"" int,""Lowest"" int,""Average"" int,PRIMARY KEY (""Stadium_ID""))",SELECT Name FROM singers WHERE Age > (SELECT AVG(Age) FROM singers),gpt-3.5-turbo-0125,0.0,
What are all the song names by singers who are older than average?,SELECT song_name FROM singer WHERE age  >  (SELECT avg(age) FROM singer),"CREATE TABLE ""stadium"" (""Stadium_ID"" int,""Location"" text,""Name"" text,""Capacity"" int,""Highest"" int,""Lowest"" int,""Average"" int,PRIMARY KEY (""Stadium_ID"")); CREATE TABLE ""stadium"" (""Stadium_ID"" int,""Location"" text,""Name"" text,""Capacity"" int,""Highest"" int,""Lowest"" int,""Average"" int,PRIMARY KEY (""Stadium_ID"")); CREATE TABLE ""stadium"" (""Stadium_ID"" int,""Location"" text,""Name"" text,""Capacity"" int,""Highest"" int,""Lowest"" int,""Average"" int,PRIMARY KEY (""Stadium_ID"")); CREATE TABLE ""stadium"" (""Stadium_ID"" int,""Location"" text,""Name"" text,""Capacity"" int,""Highest"" int,""Lowest"" int,""Average"" int,PRIMARY KEY (""Stadium_ID""))",SELECT Name FROM stadium WHERE Average > (SELECT AVG(Average) FROM stadium),gpt-3.5-turbo-0125,0.0,
Show location and name for all stadiums with a capacity between 5000 and 10000.,"SELECT LOCATION ,  name FROM stadium WHERE capacity BETWEEN 5000 AND 10000","CREATE TABLE ""stadium"" (""Stadium_ID"" int,""Location"" text,""Name"" text,""Capacity"" int,""Highest"" int,""Lowest"" int,""Average"" int,PRIMARY KEY (""Stadium_ID"")); CREATE TABLE ""stadium"" (""Stadium_ID"" int,""Location"" text,""Name"" text,""Capacity"" int,""Highest"" int,""Lowest"" int,""Average"" int,PRIMARY KEY (""Stadium_ID"")); CREATE TABLE ""stadium"" (""Stadium_ID"" int,""Location"" text,""Name"" text,""Capacity"" int,""Highest"" int,""Lowest"" int,""Average"" int,PRIMARY KEY (""Stadium_ID"")); CREATE TABLE ""stadium"" (""Stadium_ID"" int,""Location"" text,""Name"" text,""Capacity"" int,""Highest"" int,""Lowest"" int,""Average"" int,PRIMARY KEY (""Stadium_ID""))","SELECT Location, Name FROM stadium WHERE Capacity BETWEEN 5000 AND 10000;",gpt-3.5-turbo-0125,0.0,
