question,answer,context,result,is_correct,model_name,correct,prediction,error,temperature
How many heads of the departments are older than 56 ?,SELECT COUNT(*) FROM head WHERE age > 56,CREATE TABLE head (age INTEGER),,False,mistralai/Mixtral-8x7B-Instruct-v0.1,SELECT COUNT(*) FROM head WHERE age > 56,,Invalid json output: {,0.0
"List the name, born state and age of the heads of departments ordered by age.","SELECT name, born_state, age FROM head ORDER BY age","CREATE TABLE head (name VARCHAR, born_state VARCHAR, age VARCHAR)","SELECT name, born_state, CAST(age AS INT) as age FROM head ORDER BY CAST(age AS INT)",True,mistralai/Mixtral-8x7B-Instruct-v0.1,"name born_state age
Emil    Florida  35
Jane   New York  40
Davi   Illinois  42
John California  45
Mich      Texas  50","name born_state age
Emil    Florida  35
Jane   New York  40
Davi   Illinois  42
John California  45
Mich      Texas  50",,0.0
"List the creation year, name and budget of each department.","SELECT creation, name, budget_in_billions FROM department","CREATE TABLE department (creation VARCHAR, name VARCHAR, budget_in_billions VARCHAR)","SELECT creation, name, budget_in_billions FROM department",True,mistralai/Mixtral-8x7B-Instruct-v0.1,"creation name budget_in_billions
    2005 Fina                2.5
    2010 Huma                1.8
    2015 Mark                3.2
    2000   IT                4.6
    2018 Rese                5.3","creation name budget_in_billions
    2005 Fina                2.5
    2010 Huma                1.8
    2015 Mark                3.2
    2000   IT                4.6
    2018 Rese                5.3",,0.0
What are the maximum and minimum budget of the departments?,"SELECT MAX(budget_in_billions), MIN(budget_in_billions) FROM department",CREATE TABLE department (budget_in_billions INTEGER),"SELECT MIN(budget_in_billions) AS minimum_budget, MAX(budget_in_billions) AS maximum_budget FROM department",False,mistralai/Mixtral-8x7B-Instruct-v0.1,"_col_0 _col_1
     5      1","minimum_budget maximum_budget
             1              5",,0.0
What is the average number of employees of the departments whose rank is between 10 and 15?,SELECT AVG(num_employees) FROM department WHERE ranking BETWEEN 10 AND 15,"CREATE TABLE department (num_employees INTEGER, ranking INTEGER)",SELECT AVG(num_employees) FROM department WHERE ranking BETWEEN 10 AND 15,True,mistralai/Mixtral-8x7B-Instruct-v0.1,"_col_0
63.333","_col_0
63.333",,0.0
What are the names of the heads who are born outside the California state?,SELECT name FROM head WHERE born_state <> 'California',"CREATE TABLE head (name VARCHAR, born_state VARCHAR)",SELECT name FROM head WHERE born_state != 'California',True,mistralai/Mixtral-8x7B-Instruct-v0.1,"name
John
Jane
Mich
Emil
Davi","name
John
Jane
Mich
Emil
Davi",,0.0
What are the distinct creation years of the departments managed by a secretary born in state 'Alabama'?,SELECT DISTINCT T1.creation FROM department AS T1 JOIN management AS T2 ON T1.department_id = T2.department_id JOIN head AS T3 ON T2.head_id = T3.head_id WHERE T3.born_state = 'Alabama',"CREATE TABLE department (creation VARCHAR, department_id VARCHAR); CREATE TABLE management (department_id VARCHAR, head_id VARCHAR); CREATE TABLE head (head_id VARCHAR, born_state VARCHAR)",SELECT DISTINCT creation FROM department d JOIN management m ON d.department_id = m.department_id JOIN head h ON m.head_id = h.head_id WHERE h.born_state = 'Alabama' AND h.head_id IN (SELECT head_id FROM management GROUP BY head_id HAVING COUNT(DISTINCT department_id) > 1),False,mistralai/Mixtral-8x7B-Instruct-v0.1,"creation
    2015
    2018
    2019",creation,,0.0
What are the names of the states where at least 3 heads were born?,SELECT born_state FROM head GROUP BY born_state HAVING COUNT(*) >= 3,CREATE TABLE head (born_state VARCHAR),SELECT born_state FROM head GROUP BY born_state HAVING COUNT(*) >= 3,True,mistralai/Mixtral-8x7B-Instruct-v0.1,"born_state
California","born_state
California",,0.0
In which year were most departments established?,SELECT creation FROM department GROUP BY creation ORDER BY COUNT(*) DESC LIMIT 1,CREATE TABLE department (creation VARCHAR),"SELECT creation, COUNT(*) as count FROM department GROUP BY creation ORDER BY count DESC LIMIT 1",False,mistralai/Mixtral-8x7B-Instruct-v0.1,"creation
    2015","creation count
    2015     1",,0.0
Show the name and number of employees for the departments managed by heads whose temporary acting value is 'Yes'?,"SELECT T1.name, T1.num_employees FROM department AS T1 JOIN management AS T2 ON T1.department_id = T2.department_id WHERE T2.temporary_acting = 'Yes'","CREATE TABLE management (department_id VARCHAR, temporary_acting VARCHAR); CREATE TABLE department (name VARCHAR, num_employees VARCHAR, department_id VARCHAR)","SELECT department.name, department.num_employees FROM department INNER JOIN management ON department.department_id = management.department_id WHERE management.temporary_acting = 'Yes' AND management.position = 'Head'",False,mistralai/Mixtral-8x7B-Instruct-v0.1,"name num_employees
  HR            50
Mark            40
  IT            60",,Unknown column: position,0.0
How many acting statuses are there?,SELECT COUNT(DISTINCT temporary_acting) FROM management,CREATE TABLE management (temporary_acting VARCHAR),SELECT COUNT(DISTINCT temporary_acting) as count FROM management,False,mistralai/Mixtral-8x7B-Instruct-v0.1,"_col_0
     5","count
    5",,0.0
How many departments are led by heads who are not mentioned?,SELECT COUNT(*) FROM department WHERE NOT department_id IN (SELECT department_id FROM management),CREATE TABLE management (department_id VARCHAR); CREATE TABLE department (department_id VARCHAR),SELECT COUNT(*) FROM management WHERE department_id NOT IN (SELECT department_id FROM department WHERE department_id IS NOT NULL),True,mistralai/Mixtral-8x7B-Instruct-v0.1,"_col_0
     0","_col_0
     0",,0.0
What are the distinct ages of the heads who are acting?,SELECT DISTINCT T1.age FROM management AS T2 JOIN head AS T1 ON T1.head_id = T2.head_id WHERE T2.temporary_acting = 'Yes',"CREATE TABLE head (age VARCHAR, head_id VARCHAR); CREATE TABLE management (head_id VARCHAR, temporary_acting VARCHAR)",SELECT DISTINCT age FROM head h JOIN management m ON h.head_id = m.head_id WHERE m.temporary_acting = 'yes',False,mistralai/Mixtral-8x7B-Instruct-v0.1,"age
 30
 40
 50",age,,0.0
"Which department has more than 1 head at a time? List the id, name and the number of heads.","SELECT T1.department_id, T1.name, COUNT(*) FROM management AS T2 JOIN department AS T1 ON T1.department_id = T2.department_id GROUP BY T1.department_id HAVING COUNT(*) > 1","CREATE TABLE management (department_id VARCHAR); CREATE TABLE department (department_id VARCHAR, name VARCHAR)","SELECT department.department_id, department.name, COUNT(management.department_id) as heads_count 
FROM department 
LEFT JOIN management ON department.department_id = management.department_id 
GROUP BY department.department_id, department.name 
having heads_count > 1;",False,mistralai/Mixtral-8x7B-Instruct-v0.1,department_id name _col_2,department_id name heads_count,,0.0
Which head's name has the substring 'Ha'? List the id and name.,"SELECT head_id, name FROM head WHERE name LIKE '%Ha%'","CREATE TABLE head (head_id VARCHAR, name VARCHAR)","SELECT head_id, name FROM head WHERE name LIKE '%Ha%';",True,mistralai/Mixtral-8x7B-Instruct-v0.1,"head_id name
      1 Hann
      2 Harp","head_id name
      1 Hann
      2 Harp",,0.0
How many farms are there?,SELECT COUNT(*) FROM farm,CREATE TABLE farm (Id VARCHAR),SELECT COUNT(*) FROM farm,True,mistralai/Mixtral-8x7B-Instruct-v0.1,"_col_0
     5","_col_0
     5",,0.0
